,Reactant_pair,KEGG_reactions,source,target,CAR,RPAIR_main,MW,num_reactions
6194,C01179_C03198,R06632,C01179,C03198,-999.0,True,0.03448196649282518,1
6195,C01179_C03765,R03341,C01179,C03765,-999.0,True,0.1391409362716775,1
6196,C01179_C03964,"R03337,R03339",C01179,C03964,-999.0,True,0.005564080752133281,2
6197,C01179_C05350,R03342,C01179,C05350,-999.0,True,0.0,1
6198,C01179_C11527,R05778,C01179,C11527,-999.0,True,0.03448196649282518,1
6199,C01179_C12456,R06757,C01179,C12456,-999.0,True,0.1589881001466122,1
6200,C01180_C00073,"R00648,R00652,R07396,R08618,R09373,R12055,R12507",C01180,C00073,-999.0,True,0.003476775531177384,7
6201,C01180_C00855,R03001,C01180,C00855,-999.0,True,0.003476775531177384,1
6202,C01180_C15606,R07364,C01180,C15606,-999.0,True,0.04518772899866703,1
6203,C01180_C17210,R08619,C01180,C17210,-999.0,True,0.16848661643991186,1
6204,C01181_C00318,R10644,C01181,C00318,-999.0,True,0.04876906245520913,1
6205,C01181_C00487,R02397,C01181,C00487,-999.0,True,0.05187798281581376,1
6206,C01181_C01149,R03283,C01181,C01149,-999.0,True,0.057883769181654575,1
6207,C01182_C00197,"R00024,R03140",C01182,C00197,-999.0,True,0.2499889139601386,2
6208,C01182_C00199,R01523,C01182,C00199,-999.0,True,0.148054217284801,1
6209,C01182_C00988,R03140,C01182,C00988,-999.0,True,0.3305100010930541,1
6210,C01182_C01151,R10555,C01182,C01151,-999.0,True,0.0,1
6211,C01183_C02299,R03345,C01183,C02299,-999.0,True,0.12289117127290479,1
6212,C01183_C02846,R03344,C01183,C02846,-999.0,True,0.06193004976880719,1
6213,C01185_C00119,"R01724,R03348",C01185,C00119,-999.0,True,0.07415107786572127,2
6214,C01185_C00253,"R01724,R04148,R10608",C01185,C00253,-999.0,True,0.46394670281296985,3
6215,C01185_C00455,R02322,C01185,C00455,-999.0,True,0.0029682442567184712,1
6216,C01185_C00857,"R03004,R03005",C01185,C00857,-999.0,True,0.3286782820019664,2
6217,C01185_C03722,R03348,C01185,C03722,-999.0,True,0.3359426214691304,1
6218,C01185_C04778,R04148,C01185,C04778,-999.0,True,0.03178150355687106,1
6219,C01185_C05841,"R03346,R03347",C01185,C05841,-999.0,True,0.1349971809307964,2
6220,C01185_C20726,R10608,C01185,C20726,-999.0,True,0.04671471482898036,1
6221,C01186_C01142,R03275,C01186,C01142,-999.0,True,0.0,1
6222,C01186_C03656,R03349,C01186,C03656,-999.0,True,0.003548996040676148,1
6223,C01187_C00022,R01576,C01187,C00022,-999.0,True,0.46016293912055345,1
6224,C01187_C00216,R01576,C01187,C00216,-999.0,True,0.22677571647556485,1
6225,C01187_C04121,R03351,C01187,C04121,-999.0,True,0.39047813965418565,1
6226,C01187_C04478,R03350,C01187,C04478,-999.0,True,0.1437517297303702,1
6227,C01187_C21332,R11394,C01187,C21332,-999.0,True,0.004249865074689175,1
6228,C01187_C21995,R12219,C01187,C21995,-999.0,True,0.8281694669438137,1
6229,C01188_C00349,R02047,C01188,C00349,-999.0,True,0.009777294900979235,1
6230,C01188_C04047,R03352,C01188,C04047,-999.0,True,0.782604881510008,1
6231,C01189_C01164,R07215,C01189,C01164,-999.0,True,0.002613904516487456,1
6232,C01189_C03845,R03353,C01189,C03845,-999.0,True,0.0,1
6233,C01189_C05111,R04328,C01189,C05111,-999.0,True,0.017815272896785146,1
6234,C01189_C05439,R05703,C01189,C05439,-999.0,True,0.002613904516487456,1
6235,C01190_C00029,R01497,C01190,C00029,-999.0,True,0.3972139701199903,1
6236,C01190_C00031,R01498,C01190,C00031,-999.0,True,0.1511484907033512,1
6237,C01190_C00195,"R01497,R01498",C01190,C00195,-999.0,True,0.19891647275009575,2
6238,C01190_C01290,"R03354,R03355",C01190,C01290,-999.0,True,0.1423034657971356,2
6239,C01191_C00110,"R01472,R03356",C01191,C00110,-999.0,True,0.1640319033645409,2
6240,C01191_C00190,R01472,C01191,C00190,-999.0,True,0.6505421508013903,1
6241,C01191_C02399,R03356,C01191,C02399,-999.0,True,0.3956738793613175,1
6242,C01192_C04036,R03357,C01192,C04036,-999.0,True,0.002461754876543735,1
6243,C01194_C00040,R09034,C01194,C00040,-999.0,True,0.011532913793368803,1
6244,C01194_C00060,R03360,C01194,C00060,-999.0,True,0.8927163629050772,1
6245,C01194_C00137,R01802,C01194,C00137,-999.0,True,0.36606307072469596,1
6246,C01194_C00269,R01802,C01194,C00269,-999.0,True,0.15557305323719206,1
6247,C01194_C00641,"R03332,R03364",C01194,C00641,-999.0,True,0.45313804157641746,2
6248,C01194_C01177,R03332,C01194,C01177,-999.0,True,0.19755070533268956,1
6249,C01194_C01277,"R03361,R11680",C01194,C01277,-999.0,True,0.09338751288122801,2
6250,C01194_C01288,R02654,C01194,C01288,-999.0,True,0.2074199743499867,1
6251,C01194_C03819,"R03360,R09034",C01194,C03819,-999.0,True,0.3649799667647405,2
6252,C01194_C04299,R03364,C01194,C04299,-999.0,True,0.23177870742847648,1
6253,C01194_C04549,"R03362,R03363",C01194,C04549,-999.0,True,0.09338751288122801,2
6254,C01194_C11557,R10951,C01194,C11557,-999.0,True,0.09338751288122801,1
6255,C01194_C21606,R11702,C01194,C21606,-999.0,True,0.17275179722732853,1
6256,C01197_C00323,R01943,C01197,C00323,-999.0,True,0.67535140139538,1
6257,C01197_C00811,"R02950,R07826",C01197,C00811,-999.0,True,0.04647002089271809,2
6258,C01197_C00852,R02997,C01197,C00852,-999.0,True,0.325844125589206,1
6259,C01197_C01494,R03366,C01197,C01494,-999.0,True,0.03746921188706021,1
6260,C01197_C04366,R03365,C01197,C04366,-999.0,True,0.08156856326771679,1
6261,C01197_C06224,R03367,C01197,C06224,-999.0,True,0.1391409362716775,1
6262,C01197_C10434,R10701,C01197,C10434,-999.0,True,0.30232630130329,1
6263,C01197_C10447,R11206,C01197,C10447,-999.0,True,0.005564080752133281,1
6264,C01197_C16828,R02950,C01197,C16828,-999.0,True,0.005626695528712043,1
6265,C01198_C00024,R05537,C01198,C00024,-999.0,True,0.6594018567595911,1
6266,C01198_C00805,R05537,C01198,C00805,-999.0,True,0.09218897855916448,1
6267,C01198_C01772,R03709,C01198,C01772,-999.0,True,0.006103098757271408,1
6268,C01198_C02274,R03692,C01198,C02274,-999.0,True,0.05731665397069064,1
6269,C01198_C04044,R03369,C01198,C04044,-999.0,True,0.045932135138278304,1
6270,C01198_C05629,R04899,C01198,C05629,-999.0,True,0.05057849133660462,1
6271,C01200_C00074,R02769,C01200,C00074,-999.0,True,0.05369029234659837,1
6272,C01200_C00591,R02597,C01200,C00591,-999.0,True,0.11964622810351581,1
6273,C01200_C00686,R02769,C01200,C00686,-999.0,True,0.1333525140955752,1
6274,C01201_C00062,R01886,C01201,C00062,-999.0,True,0.6083944371918798,1
6275,C01201_C00301,R01886,C01201,C00301,-999.0,True,0.12252165745571869,1
6276,C01203_C00712,R02814,C01203,C00712,-999.0,True,0.31004686750497584,1
6277,C01203_C04088,R03370,C01203,C04088,-999.0,True,0.003376635546537187,1
6278,C01204_C01284,R05202,C01204,C01284,-999.0,True,0.06449474621231478,1
6279,C01204_C04563,R03371,C01204,C04563,-999.0,True,0.06449474621231478,1
6280,C01204_C04579,R03372,C01204,C04579,-999.0,True,0.06449474621231478,1
6281,C01204_C11174,R05799,C01204,C11174,-999.0,True,0.057126081903388845,1
6282,C01204_C11526,"R05779,R09087",C01204,C11526,-999.0,True,0.057126081903388845,2
6283,C01204_C15990,R07583,C01204,C15990,-999.0,True,0.06449474621231478,1
6284,C01204_C15991,R07584,C01204,C15991,-999.0,True,0.06449474621231478,1
6285,C01205_C00349,R02050,C01205,C00349,-999.0,True,0.00503874077755112,1
6286,C01205_C21029,R04666,C01205,C21029,-999.0,True,0.1726146531796003,1
6287,C01209_C00083,R01626,C01209,C00083,-999.0,True,0.869546932977994,1
6288,C01209_C00383,R08944,C01209,C00383,-999.0,True,0.2719649912484416,1
6289,C01209_C03939,"R08936,R08944,R09482",C01209,C03939,-999.0,True,0.22657770130893332,3
6290,C01209_C05744,"R04355,R10707",C01209,C05744,-999.0,True,0.008354706752713274,2
6291,C01209_C05746,R04952,C01209,C05746,-999.0,True,0.09865847401573456,1
6292,C01209_C05750,R04957,C01209,C05750,-999.0,True,0.18513704734872632,1
6293,C01209_C05753,"R04960,R10172",C01209,C05753,-999.0,True,0.25647411130996406,2
6294,C01209_C05756,R04963,C01209,C05756,-999.0,True,0.31632623598162185,1
6295,C01209_C05759,R04726,C01209,C05759,-999.0,True,0.36726032513791407,1
6296,C01209_C05762,R04968,C01209,C05762,-999.0,True,0.4111313767103588,1
6297,C01209_C16219,R07762,C01209,C16219,-999.0,True,0.4493132806211508,1
6298,C01209_C18047,R08936,C01209,C18047,-999.0,True,0.7617853485276354,1
6299,C01209_C19673,R09543,C01209,C19673,-999.0,True,0.05559827762196443,1
6300,C01209_C20372,R10115,C01209,C20372,-999.0,True,0.1904862207163452,1
6301,C01209_C20376,R10119,C01209,C20376,-999.0,True,0.2609302569103663,1
6302,C01209_C21430,R11515,C01209,C21430,-999.0,True,0.00413881462882322,1
6303,C01210_C00346,R02037,C01210,C00346,-999.0,True,0.04736049471774657,1
6304,C01210_C03486,R03375,C01210,C03486,-999.0,True,0.49594225144720017,1
6305,C01210_C13482,R06868,C01210,C13482,-999.0,True,0.04326261684465245,1
6306,C01211_C02188,R03376,C01211,C02188,-999.0,True,0.044641860548196854,1
6307,C01211_C04487,R03380,C01211,C04487,-999.0,True,0.30219104292217835,1
6308,C01212_C00041,R03193,C01212,C00041,-999.0,True,0.78776408503662,1
6309,C01212_C00692,R02783,C01212,C00692,-999.0,True,0.07920682745774103,1
6310,C01212_C01050,R03193,C01212,C01050,-999.0,True,0.04970921365331299,1
6311,C01212_C22053,R12272,C01212,C22053,-999.0,True,0.07920682745774103,1
6312,C01213_C00091,R00833,C01213,C00091,-999.0,True,0.0,1
6313,C01213_C00683,R02765,C01213,C00683,-999.0,True,0.0,1
6314,C01213_C02170,R03383,C01213,C02170,-999.0,True,0.7603996307624574,1
6315,C01213_C06002,R03381,C01213,C06002,-999.0,True,0.789445894238837,1
6316,C01214_C00691,R02781,C01214,C00691,-999.0,True,0.0028938132765752448,1
6317,C01214_C01283,R03384,C01214,C01283,-999.0,True,0.18246236777544034,1
6318,C01215_C00033,R01649,C01215,C00033,-999.0,True,0.5141502543884797,1
6319,C01215_C00232,R01649,C01215,C00232,-999.0,True,0.29409486829589654,1
6320,C01215_C01270,"R03385,R03386",C01215,C01270,-999.0,True,0.09996238450970239,2
6321,C01216_C00022,R10616,C01216,C00022,-999.0,True,0.33838212959188085,1
6322,C01216_C00577,R10616,C01216,C00577,-999.0,True,0.3283224827255349,1
6323,C01216_C00880,R03033,C01216,C00880,-999.0,True,0.04813302827673016,1
6324,C01216_C01286,R03387,C01216,C01286,-999.0,True,0.18332729672962494,1
6325,C01217_C01274,R03390,C01217,C01274,-999.0,True,0.017712265780286788,1
6326,C01217_C04377,"R08058,R09099",C01217,C04377,-999.0,True,0.0076722094764421515,2
6327,C01217_C05927,"R03388,R10332,R10802",C01217,C05927,-999.0,True,0.0012995015990448242,3
6328,C01217_C18802,R09594,C01217,C18802,-999.0,True,0.0767407470349167,1
6329,C01218_C00345,"R02032,R02034",C01218,C00345,-999.0,True,0.00366377586330671,2
6330,C01218_C06473,R02658,C01218,C06473,-999.0,True,0.170799003603144,1
6331,C01219_C00501,R02426,C01219,C00501,-999.0,True,0.0161923524782923,1
6332,C01219_C04297,"R03391,R03392",C01219,C04297,-999.0,True,0.01483393409391184,2
6333,C01220_C01245,R03394,C01220,C01245,-999.0,True,0.10520624767468878,1
6334,C01220_C01277,R10952,C01220,C01277,-999.0,True,0.15845731671117458,1
6335,C01220_C03546,R03393,C01220,C03546,-999.0,True,0.13324203720934077,1
6336,C01221_C01138,R05515,C01221,C01138,-999.0,True,0.0015213303176974983,1
6337,C01221_C01280,R03395,C01221,C01280,-999.0,True,0.05683686880799004,1
6338,C01221_C04767,R06365,C01221,C04767,-999.0,True,0.15207102838565065,1
6339,C01221_C06592,R06365,C01221,C06592,-999.0,True,0.4783857268177102,1
6340,C01222_C00096,R00888,C01222,C00096,-999.0,True,0.015105426068342009,1
6341,C01222_C00325,R05692,C01222,C00325,-999.0,True,0.001713289207881266,1
6342,C01222_C02977,"R03396,R03398",C01222,C02977,-999.0,True,0.001713289207881266,2
6343,C01222_C03117,"R03397,R03399",C01222,C03117,-999.0,True,0.001713289207881266,2
6344,C01222_C14830,R07059,C01222,C14830,-999.0,True,0.0,1
6345,C01222_C20612,R11409,C01222,C20612,-999.0,True,0.01380895993174148,1
6346,C01222_C20638,R10460,C01222,C20638,-999.0,True,0.0008794745599823795,1
6347,C01225_C00093,R01193,C01225,C00093,-999.0,True,0.3202550340910338,1
6348,C01225_C00116,R03331,C01225,C00116,-999.0,True,0.5679441514594115,1
6349,C01225_C00137,R01193,C01225,C00137,-999.0,True,0.2995054118850601,1
6350,C01225_C01177,R03331,C01225,C01177,-999.0,True,0.12463783700969155,1
6351,C01226_C04672,R03402,C01226,C04672,-999.0,True,0.0,1
6352,C01226_C04780,R03401,C01226,C04780,-999.0,True,0.00343544230734356,1
6353,C01227_C00280,R01837,C01227,C00280,-999.0,True,0.00350723366334163,1
6354,C01227_C04295,"R03406,R03407",C01227,C04295,-999.0,True,0.003482803650927047,2
6355,C01227_C04555,"R03404,R03405",C01227,C04555,-999.0,True,0.12189106966090464,2
6356,C01227_C05138,R08517,C01227,C05138,-999.0,True,0.0709509082738196,1
6357,C01227_C05139,R03408,C01227,C05139,-999.0,True,0.026989278463585935,1
6358,C01227_C18045,R08961,C01227,C18045,-999.0,True,0.026989278463585935,1
6359,C01227_C20252,R09957,C01227,C20252,-999.0,True,0.00350723366334163,1
6360,C01228_C04494,R03409,C01228,C04494,-999.0,True,0.06217630270916323,1
6361,C01229_C04215,R03410,C01229,C04215,-999.0,True,0.019682906753707145,1
6362,C01229_C04340,R03411,C01229,C04340,-999.0,True,0.019682906753707145,1
6363,C01230_C00129,"R05613,R09245,R09246",C01230,C00129,-999.0,True,0.4089742076069488,3
