,id,formula,mol_weight,O,P,Ni,X,Na,Co,I,B,H,C,Br,Mn,F,Hg,As,Fe,N,Se,R,W,S,Cl,Mo,Mg,polymer
1611,C02576,C10H14O,150.212,1,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,C02582,C7H9N3O3S2R2,247.312,3,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0
1613,C02583,C6H9N3O3R2,171.162,3,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0
1614,C02587,C9H11N5O2,221.22799999999998,2,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1615,C02588,C36H60O2,524.84,2,0,0,0,0,0,0,0,60,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,C02589,C11H16N3O7SR,167.16899999999998,7,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0
1617,C02590,C18H24O4S,336.442,4,0,0,0,0,0,0,0,24,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1618,C02591,C12H23O14P,422.274,14,1,0,0,0,0,0,0,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,C02592,C26H45NO5S,483.7,5,0,0,0,0,0,0,0,45,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1620,C02593,C35H62N7O17P3S,977.896,17,3,0,0,0,0,0,0,62,35,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0
1621,C02601,C4H6N2O3R2,130.108,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
1622,C02611,C33H44N7O19P3S,967.732,19,3,0,0,0,0,0,0,44,33,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0
1623,C02612,C5H8O5,148.114,5,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624,C02614,C5H8O5,148.114,5,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,C02616,(C6H10O5)n,81.07,5,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1626,C02617,C10H6O2,158.148,2,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1627,C02621,C15H24N2O2,264.362,2,0,0,0,0,0,0,0,24,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1628,C02623,C2H3NO2R2,73.054,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
1629,C02625,C6H4Cl2O,162.99200000000002,1,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1630,C02627,C6H14N2O3,162.192,3,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1631,C02630,C5H8O5,148.114,5,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,C02631,C7H10O4,158.14999999999998,4,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1633,C02632,C4H8O2,88.104,2,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1634,C02633,C27H44O7,480.62199999999996,7,0,0,0,0,0,0,0,44,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,C02634,C3H6ClNO2,123.53800000000001,2,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1636,C02635,C3H6ClNO2,123.53800000000001,2,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1637,C02636,C7H14NO3,160.192,3,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1638,C02637,C7H8O5,172.134,5,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1639,C02642,C4H8N2O3,132.124,3,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1640,C02646,C9H10O2,150.17000000000002,2,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641,C02647,C5H11N3O,129.168,1,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1642,C02648,C4H4O2,84.072,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1643,C02655,C8H14O7,222.192,7,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1644,C02656,C7H12O4,160.166,4,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
